missing_rate,accuracy,roc_auc,random_state
0.0,0.8466144633809305,0.9013977734673242,0
0.0,0.8499923230462153,0.9053954468541714,1
0.0,0.8522954091816367,0.9105169620932296,2
0.0,0.8530631045601106,0.9073609448835146,3
0.0,0.8515277138031629,0.9089894451208188,4
0.05,0.84692154153232,0.9012891809908998,0
0.05,0.8509135575003839,0.9046693475165597,1
0.05,0.8532166436358053,0.9102329708425331,2
0.05,0.8519883310302472,0.9065526918553063,3
0.05,0.8519883310302472,0.9083301520810549,4
0.1,0.8475356978350991,0.9010295650110399,0
0.1,0.8499923230462153,0.9044262396566312,1
0.1,0.8524489482573315,0.9097933131796703,2
0.1,0.8522954091816367,0.9069443727946183,3
0.1,0.852141870105942,0.9078223984234746,4
0.2,0.8464609243052357,0.9004107684529828,0
0.2,0.849531705819131,0.9044626091083552,1
0.2,0.8507600184246891,0.9095480128350633,2
0.2,0.8510670965760786,0.9063406656899362,3
0.2,0.8509135575003839,0.9071547223540578,4
